является фонетико-семантическим компонентом,фонетик,汉字,部件1,部件2,部件3,部件4,部件5,部件6,部件7,部件8,部件9
Нет,,页,一,丶,贝,,,,,,
Нет,,匠,匚,斤,,,,,,,
Нет,,夸,大,一,丂,,,,,,
Нет,,夺,大,寸,,,,,,,
Да,又,灰,厂,火,,,,,,,
Да,大,达,辶,大,,,,,,,
Да,列,列,歹,刀,,,,,,,
Нет,,死,歹,匕,,,,,,,
Да,丁,成,戊,𠃌,,,,,,,
Да,合,夹,一,丷,大,,,,,,
Да,九,轨,车,九,,,,,,,
Нет,,邪,牙,阝,,,,,,,
Нет,,划,戈,刀,,,,,,,
Да,万,迈,辶,万,,,,,,,
Нет,,毕,匕,匕,十,,,,,,
Нет,,至,一,厶,土,,,,,,
Нет,,此,止,匕,,,,,,,
Да,鼎,贞,卜,贝,,,,,,,
Нет,,师,丨,丿,丿,巾,,,,,
Нет,,尘,小,土,,,,,,,
Нет,,尖,小,大,,,,,,,
Нет,,劣,少,力,,,,,,,
Нет,,光,小,兀,,,,,,,
Нет,,当,小,彐,,,,,,,
Нет,,早,日,十,,,,,,,
Да,土,吐,口,土,,,,,,,
Да,赤,吓,口,下,,,,,,,
Нет,,虫,虫,,,,,,,,
Нет,,曲,曰,丨,丨,,,,,,
Нет,,团,囗,才,,,,,,,
Нет,,同,冂,一,口,,,,,,
Нет,,吊,口,巾,,,,,,,
Да,乞,吃,口,丿,一,乙,,,,,
Нет,,因,囗,大,,,,,,,
Да,及,吸,口,及,,,,,,,
Нет,,吗,口,马,,,,,,,
Нет,,屿,山,与,,,,,,,
Нет,,帆,巾,凡,,,,,,,
Да,戉,岁,山,夕,,,,,,,
Да,回,回,囗,口,,,,,,,
Нет,,岂,山,己,,,,,,,
Да,刚,刚,冂,乂,刀,,,,,,
Нет,,则,贝,刀,,,,,,,
Нет,,肉,冂,人,人,,,,,,
Да,亡,网,冂,乂,乂,,,,,,
Да,人,年,丿,丰,丶,,,,,,
Да,朱,朱,丿,未,,,,,,,
Нет,,先,丿,土,儿,,,,,,
Нет,,丢,丿,去,,,,,,,
Нет,,舌,千,口,,,,,,,
Нет,,竹,竹,,,,,,,,
Да,千,迁,辶,千,,,,,,,
Нет,,乔,夭,丿,丨,,,,,,
Нет,,伟,人,韦,,,,,,,
Нет,,传,人,专,,,,,,,
Нет,,乒,丘,丿,,,,,,,
Нет,,乓,丘,丶,,,,,,,
Нет,,休,人,木,,,,,,,
Да,五,伍,人,五,,,,,,,
Нет,,伏,人,犬,,,,,,,
Да,㥑,优,人,尤,,,,,,,
Нет,,伐,人,戈,,,,,,,
Нет,,延,廴,𠂛,,,,,,,
Нет,,件,人,牛,,,,,,,
Нет,,任,人,壬,,,,,,,
Да,昜,伤,人,丿,一,力,,,,,
Да,介,价,人,人,丿,丨,,,,,
Нет,,份,人,八,刀,,,,,,
Да,华,华,人,匕,十,,,,,,
Нет,,仰,人,卬,,,,,,,
Нет,,仿,人,方,,,,,,,
Да,火,伙,人,火,,,,,,,
Да,为,伪,人,为,,,,,,,
Нет,,自,丶,目,,,,,,,
Нет,,血,丶,皿,,,,,,,
Нет,,向,丶,冂,口,,,,,,
Нет,,似,人,{⿰𠄌丶},人,,,,,,
Нет,,后,厂,一,口,,,,,,
Нет,,行,彳,一,丁,,,,,,
Нет,,舟,丶,冂,一,丶,丶,,,,
Нет,,全,人,王,,,,,,,
Нет,,会,人,云,,,,,,,
Нет,,杀,乂,木,,,,,,,
Нет,,合,人,一,口,,,,,,
Нет,,兆,儿,丷,八,,,,,,
Нет,,企,人,止,,,,,,,
Нет,,众,人,人,人,,,,,,
Нет,,爷,父,卩,,,,,,,
Да,散,伞,人,丷,十,,,,,,
Да,井,创,人,卩,刀,,,,,,
Нет,,肌,月,几,,,,,,,
Нет,,朵,几,木,,,,,,,
Нет,,杂,九,木,,,,,,,
Нет,,危,刀,厂,卩,,,,,,
Нет,,旬,勹,日,,,,,,,
Нет,,旨,匕,日,,,,,,,
Нет,,负,刀,贝,,,,,,,
Нет,,各,夂,口,,,,,,,
Нет,,名,夕,口,,,,,,,
Нет,,多,夕,夕,,,,,,,
Нет,,争,刀,肀,,,,,,,
Нет,,色,刀,巴,,,,,,,
Да,爿,壮,丬,士,,,,,,,
Да,中,冲,冫,中,,,,,,,
Нет,,冰,冫,水,,,,,,,
Да,爿,庄,广,土,,,,,,,
Нет,,庆,广,大,,,,,,,
Нет,,亦,亦,,,,,,,,
Нет,,刘,文,刀,,,,,,,
Нет,,齐,文,丿,丨,,,,,,
Нет,,交,亠,父,,,,,,,
Нет,,次,冫,欠,,,,,,,
Нет,,衣,丶,一,𧘇,,,,,,
Нет,,产,立,丿,,,,,,,
Нет,,决,冫,夬,,,,,,,
Нет,,充,亠,厶,儿,,,,,,
Да,亡,妄,亡,女,,,,,,,
Нет,,闭,门,才,,,,,,,
Да,门,问,门,口,,,,,,,
Нет,,闯,门,马,,,,,,,
Нет,,羊,丷,三,丨,,,,,,
Нет,,并,丷,开,,,,,,,
Да,卵,关,丷,天,,,,,,,
Нет,,米,丷,木,,,,,,,
Да,丁,灯,火,丁,,,,,,,
Нет,,州,川,丶,丶,丶,,,,,
Да,干,汗,氵,干,,,,,,,
Нет,,污,氵,一,丂,,,,,,
Да,工,江,氵,工,,,,,,,
Нет,,池,氵,也,,,,,,,
Да,昜,汤,氵,𠃓,,,,,,,
Да,亡,忙,忄,亡,,,,,,,
Нет,,兴,丷,六,,,,,,,
Нет,,宇,宀,于,,,,,,,
Да,肘,守,宀,寸,,,,,,,
Нет,,宅,宀,乇,,,,,,,
Да,子,字,宀,子,,,,,,,
Нет,,安,宀,女,,,,,,,
Нет,,讲,讠,井,,,,,,,
Нет,,军,冖,车,,,,,,,
Да,午,许,讠,午,,,,,,,
Нет,,论,讠,仑,,,,,,,
Нет,,农,冖,𧘇,,,,,,,
Нет,,讽,讠,风,,,,,,,
Да,埶,设,讠,殳,,,,,,,
Нет,,访,讠,方,,,,,,,
Нет,,寻,彐,寸,,,,,,,
Нет,,那,月,阝,,,,,,,
Нет,,迅,辶,卂,,,,,,,
Нет,,尽,尺,冫,,,,,,,
Да,首,导,巳,寸,,,,,,,
Нет,,异,已,廾,,,,,,,
Нет,,孙,子,小,,,,,,,
Нет,,阵,阝,车,,,,,,,
Да,昜,阳,阝,日,,,,,,,
Да,丩,收,丩,攴,,,,,,,
Нет,,阶,阝,人,丿,丨,,,,,
Да,今,阴,阝,月,,,,,,,
Нет,,防,阝,方,,,,,,,
Да,干,奸,女,干,,,,,,,
Да,女,如,女,口,,,,,,,
Нет,,妇,女,彐,,,,,,,
Нет,,好,女,子,,,,,,,
Нет,,她,女,也,,,,,,,
Нет,,妈,女,马,,,,,,,
Нет,,戏,又,戈,,,,,,,
Нет,,羽,习,习,,,,,,,
Нет,,观,又,见,,,,,,,
Нет,,欢,又,欠,,,,,,,
Нет,,买,乛,头,,,,,,,
Да,工,红,纟,工,,,,,,,
Да,牵,纤,纟,千,,,,,,,
Да,及,级,纟,及,,,,,,,
Нет,,约,纟,勺,,,,,,,
Да,己,纪,纟,己,,,,,,,
Нет,,驰,马,也,,,,,,,
Да,川,巡,辶,巛,,,,,,,
Нет,,寿,丰,寸,,,,,,,
Нет,,弄,王,廾,,,,,,,
Да,来,麦,丰,夕,,,,,,,
Да,耕,形,开,彡,,,,,,,
Нет,,进,辶,井,,,,,,,
Нет,,戒,廾,戈,,,,,,,
Да,天,吞,天,口,,,,,,,
Да,袁,远,辶,二,儿,,,,,,
Нет,,违,辶,韦,,,,,,,
Нет,,运,辶,云,,,,,,,
Нет,,扶,扌,夫,,,,,,,
Нет,,抚,扌,无,,,,,,,
Да,旦,坛,土,云,,,,,,,
Нет,,技,扌,十,又,,,,,,
Нет,,坏,土,不,,,,,,,
Да,夒,扰,扌,尤,,,,,,,
Да,巨,拒,扌,巨,,,,,,,
Нет,,找,扌,戈,,,,,,,
Нет,,批,扌,匕,匕,,,,,,
Да,止,扯,扌,止,,,,,,,
Да,止,址,土,止,,,,,,,
Нет,,走,十,乛,卜,人,,,,,
Да,少,抄,扌,少,,,,,,,
Да,贝,坝,土,贝,,,,,,,
Да,工,贡,工,贝,,,,,,,
Да,工,攻,工,攴,,,,,,,
Нет,,赤,赤,,,,,,,,
Нет,,折,扌,斤,,,,,,,
Нет,,抓,扌,爪,,,,,,,
Нет,,扮,扌,八,刀,,,,,,
Нет,,抢,扌,人,卩,,,,,,
Нет,,孝,耂,子,,,,,,,
Нет,,均,土,勹,冫,,,,,,
Нет,,抛,扌,九,力,,,,,,
Да,殳,投,扌,殳,,,,,,,
Нет,,坟,土,文,,,,,,,
Нет,,抗,扌,亠,几,,,,,,
Нет,,坑,土,亠,几,,,,,,
Нет,,坊,土,方,,,,,,,
Да,斗,抖,扌,斗,,,,,,,
Нет,,护,扌,户,,,,,,,
Нет,,壳,士,冖,几,,,,,,
Да,之,志,士,心,,,,,,,
Нет,,扭,扌,丑,,,,,,,
Нет,,块,土,夬,,,,,,,
Да,殸,声,士,尸,丨,,,,,,
Нет,,把,扌,巴,,,,,,,
Нет,,报,扌,卩,又,,,,,,
Нет,,却,去,卩,,,,,,,
Нет,,劫,去,力,,,,,,,
Нет,,芽,艹,牙,,,,,,,
Да,化,花,艹,人,匕,,,,,,
Нет,,芹,艹,斤,,,,,,,
Нет,,芬,艹,八,刀,,,,,,
Нет,,苍,艹,人,卩,,,,,,
Нет,,芳,艹,方,,,,,,,
Нет,,严,亚,丿,,,,,,,
Нет,,芦,艹,户,,,,,,,
Да,劳,劳,艹,冖,力,,,,,,
Нет,,克,十,口,儿,,,,,,
Да,鱼,苏,艹,办,,,,,,,
Да,干,杆,木,干,,,,,,,
Да,工,杠,木,工,,,,,,,
Да,土,杜,木,土,,,,,,,
Нет,,材,木,才,,,,,,,
Да,寸,村,木,寸,,,,,,,
Нет,,杏,木,口,,,,,,,
Да,及,极,木,及,,,,,,,
Да,来,李,木,子,,,,,,,
Да,昜,杨,木,𠃓,,,,,,,
Нет,,求,求,,,,,,,,
Нет,,更,一,日,人,,,,,,
Нет,,束,木,口,,,,,,,
Нет,,豆,一,口,丷,一,,,,,
Нет,,两,两,,,,,,,,
Нет,,丽,一,冂,丶,冂,丶,,,,
Нет,,医,匚,矢,,,,,,,
Нет,,辰,辰,,,,,,,,
Да,万,励,厂,万,力,,,,,,
Нет,,否,不,口,,,,,,,
Нет,,还,辶,不,,,,,,,
Нет,,歼,歹,千,,,,,,,
Нет,,来,一,米,,,,,,,
Нет,,连,辶,车,,,,,,,
Нет,,步,止,小,,,,,,,
Да,臣,坚,丨,丨,又,土,,,,,
Да,干,旱,日,干,,,,,,,
Да,丁,盯,目,丁,,,,,,,
Нет,,呈,口,王,,,,,,,
Да,之,时,日,寸,,,,,,,
Нет,,吴,口,天,,,,,,,
Нет,,助,且,力,,,,,,,
Нет,,县,且,厶,,,,,,,
Да,里,里,甲,二,,,,,,,
Нет,,呆,口,木,,,,,,,
Да,袁,园,囗,二,儿,,,,,,
Да,黄,旷,日,广,,,,,,,
Нет,,围,囗,韦,,,,,,,
Нет,,呀,口,牙,,,,,,,
Нет,,吨,口,屯,,,,,,,
Нет,,足,口,卜,人,,,,,,
Да,由,邮,由,阝,,,,,,,
Нет,,男,田,力,,,,,,,
Нет,,困,囗,木,,,,,,,
Да,少,吵,口,少,,,,,,,
Нет,,串,中,口,,,,,,,
Да,员,员,口,贝,,,,,,,
Нет,,听,口,斤,,,,,,,
Нет,,吩,口,八,刀,,,,,,
Нет,,吹,口,欠,,,,,,,
Нет,,呜,口,乌,,,,,,,
Нет,,吧,口,巴,,,,,,,
Да,孔,吼,口,子,乙,,,,,,
Нет,,别,口,力,刀,,,,,,
Да,冈,岗,山,冂,乂,,,,,,
Да,长,帐,巾,长,,,,,,,
Нет,,财,贝,才,,,,,,,
Да,十,针,钅,十,,,,,,,
Да,丁,钉,钅,丁,,,,,,,
Нет,,告,牛,口,,,,,,,
Нет,,我,扌,戈,,,,,,,
Нет,,乱,舌,乙,,,,,,,
Нет,,利,禾,刀,,,,,,,
Нет,,秃,禾,几,,,,,,,
Нет,,秀,禾,乃,,,,,,,
Нет,,私,禾,厶,,,,,,,
Нет,,每,𠂉,母,,,,,,,
Нет,,兵,丘,八,,,,,,,
Да,古,估,人,十,口,,,,,,
Да,本,体,人,本,,,,,,,
Нет,,何,人,丁,口,,,,,,
Да,旦,但,人,日,一,,,,,,
Да,申,伸,人,申,,,,,,,
Нет,,作,人,乍,,,,,,,
Да,白,伯,人,白,,,,,,,
Нет,,伶,人,人,一,卩,,,,,
Да,用,佣,人,用,,,,,,,
Нет,,低,人,氏,丶,,,,,,
Нет,,你,人,刀,小,,,,,,
Нет,,住,人,主,,,,,,,
Да,立,位,人,立,,,,,,,
Да,半,伴,人,半,,,,,,,
Нет,,身,丶,且,丿,,,,,,
Нет,,皂,白,七,,,,,,,
Нет,,佛,人,弗,,,,,,,
Нет,,近,辶,斤,,,,,,,
Нет,,彻,彳,七,刀,,,,,,
Нет,,役,彳,殳,,,,,,,
Нет,,返,辶,厂,又,,,,,,
Да,余,余,人,于,八,,,,,,
Нет,,希,乂,一,丿,巾,,,,,
Нет,,坐,人,人,土,,,,,,
Нет,,谷,八,人,口,,,,,,
Нет,,妥,爪,女,,,,,,,
Да,今,含,今,口,,,,,,,
Нет,,邻,人,一,卩,阝,,,,,
Нет,,岔,八,刀,山,,,,,,
Да,干,肝,月,干,,,,,,,
Да,土,肚,月,土,,,,,,,
Да,昜,肠,月,𠃓,,,,,,,
Нет,,龟,刀,电,,,,,,,
Нет,,免,免,,,,,,,,
Да,王,狂,犭,王,,,,,,,
Нет,,犹,犭,尤,,,,,,,
Нет,,角,角,,,,,,,,
Нет,,删,册,刀,,,,,,,
Нет,,条,夕,木,,,,,,,
